Sno,Date,Shop name,"productname",Location,"No of units",suppiied by,"Per unit price","Total Price","Amount Billed",Amount collected,"ReturnsUnits","Returns Amt","Sample Amt","Prv bal collected",Balance Amount,,
38,1-Apr,Sri Krishna snacks,Rose Milk,North usman,3,Manikandan,18,54,54,54,0,0,,,,,
39,1-Apr,"Muthutamman cool,bar",Rose Milk,Kodambakkam,5,Manikandan,18,90,90,90,0,0,,,,,
40,1-Apr,Sri Andal Cool bar,Rose Milk,Kodambakkam,7,Manikandan,18,126,126,90,2,36,,,,,
41,1-Apr,Saravana Cafe,Rose Milk,Kodambakkam,3,Manikandan,18,54,54,0,3,54,,,,,
42,1-Apr,7 Star Cool bar,Rose Milk,Kodambakkam,5,Manikandan,18,90,90,54,2,36,,,,,
43,1-Apr,Rams ,Rose Milk,Bazulla Roada,6,Manikandan,18,108,108,90,1,18,,,,,
44,1-Apr,R.R.Tea Stall,Rose Milk,Pondy bazar,20,Manikandan,17,340,340,340,0,0,,,,,
45,1-Apr,Anna University,Rose Milk,Anna University,15,Manikandan,18,270,270,270,0,0,,,0,,
46,1-Apr,Kamatchi cool bar,Rose Milk,choolaimedu,3,Manikandan,17,50,50,50,0,0,,,,,
47,1-Apr,Saran backery,Rose Milk,Harrinton road,5,Manikandan,18,90,90,90,0,0,,,,,
48,1-Apr,Saran backery,Rose Milk,choolaimedu,5,Manikandan,18,90,90,90,0,0,,,,,
49,1-Apr,R.Backers,Rose Milk,Pondy bazar,6,Manikandan,17,100,100,100,0,0,,,,,
50,1-Apr,MiMi Backery,Rose Milk,North usman,5,Manikandan,18,90,90,90,0,0,,,,,
51,1-Apr,Arun snacks,Rose Milk,Anna nagar,10,Manoj,17,170,170,170,0,0,,,,,
52,1-Apr,Relax Cool bar,Rose Milk,Anna nagar,15,Manoj,16,240,240,160,5,80,,,,,
53,1-Apr,Sri Raga,Rose Milk,Anna nagar,5,Manoj,17,85,85,85,0,0,,,,,
54,1-Apr,Maharaja,Rose Milk,ICF,10,Manoj,18,180,180,180,0,0,,,,,
55,1-Apr,Chandran News mart,Rose Milk,Nadamuni,5,Manoj,18,90,90,90,0,0,,,,,
56,1-Apr,Seena cool bar,Rose Milk,Nadamuni,10,Manoj,18,180,180,180,0,0,,,,,
57,1-Apr,ICF Hospital,Rose Milk,ICF,10,Manoj,18,180,180,180,0,0,,,,,
58,1-Apr,Crown Backery,Rose Milk,Ayanavaram,5,Manoj,18,90,90,90,0,0,,,,,
59,1-Apr,Jas Backery,Rose Milk,Ayanavaram,10,Manoj,16,160,160,160,0,0,,,,,
60,1-Apr,Gokul News Mart,Rose Milk,Secratraite Colony,6,Manoj,17,102,102,102,0,0,,,,,
61,1-Apr,Skumar,Rose Milk,Secratraite Colony,15,Manoj,17,255,255,255,0,0,,,,,
62,1-Apr,City Shoppee,Rose Milk,Secratraite Colony,5,Manoj,18,90,90,90,0,0,,,,,
63,1-Apr,Sujis Tea stall,Rose Milk,Secratraite Colony,5,Manoj,18,90,90,90,0,0,,,,,
64,1-Apr,Surendar Tea Stall,Rose Milk,Secratraite Colony,6,Manoj,18,108,108,90,1,18,,,,,
65,1-Apr,Aneesh Cool bar,Rose Milk,Purasaiwalkam,6,Manoj,17,102,102,102,0,0,,,,,
66,1-Apr,Ramalingavilas,Rose Milk,Choolai,11,Manoj,18,198,198,198,0,0,,,,,
67,1-Apr,Ragam Cool bar,Rose Milk,Choolai,5,Manoj,18,90,90,90,0,0,,,,,
68,1-Apr,Backers Hut,Rose Milk,Purasaiwalkam,5,Manoj,18,90,90,90,0,0,,,,,
69,1-Apr,Sri krishna tea Stall,Rose Milk,Purasaiwalkam,3,Manoj,17,51,51,51,0,0,,,,,
70,1-Apr,Anurag Tea stall,Rose Milk,Kilpauk,12,Manoj,18,216,216,180,2,36,,,,,
71,1-Apr,Dandapani,Rose Milk,Kilpauk,5,Manoj,18,90,90,90,0,0,,,,,
72,1-Apr,M K Store,Rose Milk,Kilpauk,6,Manoj,18,108,108,108,0,0,,,,,
73,1-Apr,Royal Store,Rose Milk,Anna nagar,5,Sreenevasan,18,90,90,90,0,0,,,,,
74,1-Apr,"Oman Cool,bar",Rose Milk,Anna nagar,10,Sreenevasan,18,180,180,180,0,0,,,,,
75,1-Apr,Hotel faizal,Rose Milk,Anna nagar,5,Sreenevasan,18,90,90,54,2,36,,,,,
76,1-Apr,S k cool bar,Rose Milk,Anna nagar,5,Sreenevasan,18,90,90,90,0,0,,,,,
77,1-Apr,Aachariya backery,Rose Milk,Padi,10,Sreenevasan,17,170,170,170,0,0,,,,,
78,1-Apr,Taj Cool bar,Rose Milk,Padi,10,Sreenevasan,17,170,170,85,5,85,,,,,
79,1-Apr,Sg Cafe,Rose Milk,Padi,5,Sreenevasan,17,85,85,85,0,0,,,,,
80,1-Apr,Arul Tea Stall,Rose Milk,Ambattur,5,Sreenevasan,18,90,90,90,0,0,,,,,
81,1-Apr,Ambika cool bar,Rose Milk,Ambattur,5,Sreenevasan,18,90,90,90,0,0,,,,,
82,1-Apr,Nandanam Hot & Chill,Rose Milk,Karukku Road,5,Sreenevasan,18,90,90,90,0,0,,,,,
83,1-Apr,Vanitha Hotel,Rose Milk,Ambattur,10,Sreenevasan,18,180,180,180,0,0,,,,,
84,1-Apr,Raja Store,Rose Milk,Ambattur,3,Sreenevasan,18,54,54,54,0,0,,,,,
85,1-Apr,Perumal Store,Rose Milk,Ambattur,5,Sreenevasan,18,90,90,90,0,0,,,,,
86,1-Apr,Arasu Tea stall,Rose Milk,Ambattur,10,Sreenevasan,18,180,180,180,0,0,,,,,
87,1-Apr,Kirthika Sweet,Rose Milk,Ambattur,7,Sreenevasan,18,126,126,126,0,0,,180,0,,
88,1-Apr,Lingam Store,Rose Milk,Ambattur,4,Sreenevasan,18,72,72,54,1,18,,,,,
89,1-Apr,kumaran Cool bar,Rose Milk,Korattur,5,Sreenevasan,18,90,90,90,0,0,,,,,
90,1-Apr,Brindha Backery,Rose Milk,Korattur,5,Sreenevasan,18,90,90,90,0,0,,,,,
91,1-Apr,Venkateswara backery,Rose Milk,Korattur,5,Sreenevasan,18,90,90,90,0,0,,,,,
92,1-Apr,Ravi Cool bar,Rose Milk,Korattur,6,Sreenevasan,17,102,102,50,3,51,,,,,
93,1-Apr,V U Snacks,Rose Milk,Arumbakkam,5,Viswanath,18,90,90,90,0,0,,,,,
94,1-Apr,Apoorva backery,Rose Milk,Arumbakkam,3,Viswanath,17,50,50,50,0,0,,,,,
95,1-Apr,Chandra Snacks,Rose Milk,Koyembedu,5,Viswanath,18,90,90,36,3,54,,,,,
96,1-Apr,Singara Chennai,Rose Milk,Koyembedu,10,Viswanath,18,180,180,180,0,0,,,,,
97,1-Apr,Hydrabad Briyani,Rose Milk,Koyembedu,6,Viswanath,18,108,108,108,0,0,,,,,
98,1-Apr,Maniratnam,Rose Milk,Koyembedu,5,Viswanath,18,90,90,90,0,0,,,,,
99,1-Apr,Nathan store,Rose Milk,Koyembedu,5,Viswanath,17,85,85,85,0,0,,,,,
100,1-Apr,Senthoor Cool bar,Rose Milk,Koyembedu,6,Viswanath,18,108,108,72,2,36,,,,,
101,1-Apr,Perumal Cool bar,Rose Milk,Koyembedu,7,Viswanath,18,126,126,90,2,36,,,,,
102,1-Apr,FAlcone,Rose Milk,Maduravoyal,10,Viswanath,18,180,180,180,0,0,,,,,
103,1-Apr,Ragavendra backery,Rose Milk,Mogappair,10,Viswanath,17,170,170,170,0,0,,,,,
104,1-Apr,MM Store,Rose Milk,Mogappair,10,Viswanath,16,160,160,160,0,0,,,,,
105,1-Apr,Murugan Traders,Rose Milk,Mogappair,7,Viswanath,17,119,119,100,1,17,,,,,
106,1-Apr,Jayam Cafe,Rose Milk,Mogappair,10,Viswanath,18,180,180,180,0,0,,,,,
107,1-Apr,Mohan Cool bar,Rose Milk,Mogappair,5,Viswanath,18,90,90,36,3,54,,,,,
108,1-Apr,Viji Coffee,Rose Milk,Mogappair,5,Viswanath,18,90,90,90,0,0,,,,,
109,1-Apr,Chandrika Backery,Rose Milk,Anna nagar,15,Viswanath,16,240,240,240,0,0,,,,,
110,1-Apr,Chai Hub,Rose Milk,Anna nagar,6,Viswanath,18,108,108,108,0,0,,,,,
111,1-Apr,Gokul News Mart,Rose Milk,Anna nagar,5,Viswanath,17,85,85,0,5,85,,,,,
112,1-Apr,H.B.Canteen,Rose Milk,Anna nagar,5,Viswanath,17,85,85,68,1,17,,,,,
113,1-Apr,Dhivya Tea Stall,Rose Milk,MMDA,2,Silambarasan,18,36,36,36,0,0,,,,,
114,1-Apr,Suriya cool bar,Rose Milk,MMDA,10,Silambarasan,18,180,180,180,0,0,,,,,
115,1-Apr,Nithil Tea Stall,Rose Milk,West mambalam,4,Silambarasan,18,72,72,72,0,0,,,,,
116,1-Apr,Baiju Tea Stall,Rose Milk,West mambalam,6,Silambarasan,18,108,108,108,0,0,,,,,
117,1-Apr,Murugalakshmi Store,Rose Milk,West mambalam,5,Silambarasan,18,90,90,90,0,0,,,,,
118,1-Apr,Karupatti,Rose Milk,West mambalam,5,Silambarasan,18,90,90,90,0,0,,,,,
119,1-Apr,Golden Snacks,Rose Milk,West mambalam,5,Silambarasan,18,90,90,90,0,0,,,,,
120,1-Apr,Jayapal cool bar,Rose Milk,West mambalam,5,Silambarasan,18,90,90,90,0,0,,,,,
121,1-Apr,Binhalan Cool bar,Rose Milk,Kasi theatre,5,Silambarasan,18,90,90,18,4,72,,,,,
122,1-Apr,Vijay Cool bar,Rose Milk,Kasi theatre,5,Silambarasan,18,90,90,90,0,0,,,,,
123,1-Apr,Vairamani Tea Stall,Rose Milk,Ekkatuthangal,5,Silambarasan,18,90,90,90,0,0,,,,,
124,1-Apr,Kumaran Chettinad,Rose Milk,Ekkatuthangal,10,Silambarasan,17,170,170,170,0,0,,,,,
125,1-Apr,Juice garden,Rose Milk,Ekkatuthangal,5,Silambarasan,18,90,90,90,0,0,,,,,
126,1-Apr,Sana Tea Stall,Rose Milk,Kasi theatre,5,Silambarasan,18,90,90,90,0,0,,,,,
127,1-Apr,Sri Devi Biscuite,Rose Milk,kk nagar,6,Silambarasan,18,108,108,108,0,0,,,,,
128,1-Apr,MM cool bar,Rose Milk,kk nagar,1,Silambarasan,18,18,18,0,1,18,,,,,
129,1-Apr,Shakthi News mart,Rose Milk,kk nagar,3,Silambarasan,18,54,54,54,0,0,,,,,
130,1-Apr,Udhayam Store,Rose Milk,kk nagar,3,Silambarasan,18,54,54,36,1,18,,,,,
131,1-Apr,Venkateswara Hot Chips,Rose Milk,Alwarthirunagar,5,Silambarasan,18,90,90,90,0,0,,,,,
132,1-Apr,Murugan Tea Stall,Rose Milk,Alwarthirunagar,6,Silambarasan,18,108,108,108,0,0,,,,,
133,1-Apr,Saradha Store,Rose Milk,Alwarthirunagar,5,Silambarasan,18,90,90,90,0,0,,,,,
134,1-Apr,Tea Room,Rose Milk,Alwarthirunagar,10,Silambarasan,22,220,220,220,0,0,,,,,
135,1-Apr,Bismi Tea Stall,Rose Milk,Nungambakkam,7,Satish,17,119,119,102,1,17,,,,,
136,1-Apr,Bombay cool bar,Rose Milk,Teynampet,5,Satish,17,85,85,85,0,0,,,,,
137,1-Apr,Kavitha Cool bar,Rose Milk,Stella maris,3,Satish,18,54,54,54,0,0,,,,,
138,1-Apr,Radha Pan Stall,Rose Milk,Stella maris,5,Satish,18,90,90,90,0,0,,,,,
139,1-Apr,Black Pokea,Rose Milk,Royapettah,10,Satish,18,180,180,180,0,0,,,,,
140,1-Apr,A to Z Cool bar,Rose Milk,Royapettah,3,Satish,18,54,54,0,3,54,,,,,
141,1-Apr,Brothers Cool bar,Rose Milk,Mylapore,3,Satish,18,54,54,54,0,0,,,,,
142,1-Apr,Music Collage ,Rose Milk,R.A.Puram,10,Satish,18,180,180,180,0,0,,,,,
143,1-Apr,Pavi tiffen ,Rose Milk,R.A.Puram,3,Satish,18,54,54,54,0,0,,,,,
144,1-Apr,Tirumala cool bar,Rose Milk,Teynampet,2,Satish,18,36,36,36,0,0,,,,,
145,1-Apr,Amith Cool bar,Rose Milk,Teynampet,5,Satish,18,90,90,90,0,0,,,,,
146,1-Apr,Vijay Cool bar,Rose Milk,Teynampet,5,Satish,18,90,90,90,0,0,,,,,
147,1-Apr,kani Store,Rose Milk,Harrinton road,7,Satish,18,126,126,108,1,18,,,,,
148,1-Apr,Natarajan cool bar,Rose Milk,Royapettah,3,Satish,18,54,54,54,0,0,,,,,
149,1-Apr,Greams Palace,Badam Milk,Greams Road,10,M.Karthick,24,240,240,240,0,0,,,,,
150,1-Apr,Bung Shop,Badam Milk,Royapettah,3,M.Karthick,24,72,72,72,0,0,,,,,
151,1-Apr,Bismi Tea Stall,Badam Milk,Royapettah,4,M.Karthick,24,96,96,96,0,0,,,,,
152,1-Apr,Ars Marina ,Badam Milk,Royapettah,5,M.Karthick,23,115,115,115,0,0,,345,,,
153,1-Apr,"Sai Cool,bar",Badam Milk,Royapettah,3,M.Karthick,24,72,72,72,0,0,,,,,
154,1-Apr,Mass Chai,Badam Milk,Pudupet,5,M.Karthick,24,120,120,120,0,0,,,,,
155,1-Apr,Geetham Coffee,Badam Milk,Egmore,10,M.Karthick,24,240,240,240,0,0,,,,,
156,1-Apr,Pamba Backery,Badam Milk,Egmore,5,M.Karthick,24,120,120,120,0,0,,,,,
157,1-Apr,National Cool bar,Badam Milk,Kilpauk,5,M.Karthick,23,115,115,115,0,0,,,,,
158,1-Apr,Ambayee Pazamudir,Badam Milk,Kilpauk,3,M.Karthick,24,72,72,72,0,0,,,,,
159,1-Apr,Kpr Cool bar,Badam Milk,Kodambakkam,5,Manikandan,24,120,120,120,0,0,,,,,
160,1-Apr,My Father ,Badam Milk,nungambakkam,5,Manikandan,23,115,115,115,0,0,,,,,
161,1-Apr,Kannan Tea Stall,Badam Milk,nungambakkam,3,Manikandan,24,72,72,72,0,0,,100,,,
162,1-Apr,MiMi Backery,Badam Milk,North usman,10,Manikandan,24,240,240,240,0,0,,,,,
163,1-Apr,"Muthutamman cool,bar",Badam Milk,kodambakkam,5,Manikandan,24,120,120,120,0,0,,,,,
164,1-Apr,Sri Andal Cool bar,Badam Milk,kodambakkam,8,Manikandan,23,184,184,184,0,0,,,,,
165,1-Apr,Saran backery,Badam Milk,Harrinton road,5,Manikandan,24,120,120,120,0,0,,,,,
166,1-Apr,Saran backery,Badam Milk,choolaimedu,5,Manikandan,24,120,120,120,0,0,,,,,
167,1-Apr,Anna University,Badam Milk,Anna University,13,Manikandan,24,312,312,312,0,0,,,0,,
168,1-Apr,P.Basker news mart,Badam Milk,nungambakkam,5,Manikandan,24,120,120,120,0,0,,,,,
169,1-Apr,G.B.news mart,Badam Milk,choolaimedu,5,Manikandan,24,120,120,120,0,0,,,,,
170,1-Apr,Hotel Meghaa,Badam Milk,Aminjikarai,3,Manikandan,24,72,72,72,0,0,,,,,
171,1-Apr,Dinesh Tea stall,Badam Milk,Aminjikarai,3,Manikandan,24,72,72,72,0,0,,,,,
172,1-Apr,Jupiter Tea Stall,Badam Milk,Aminjikarai,5,Manikandan,24,120,120,120,0,0,,,,,
173,1-Apr,Gokul News Mart,Badam Milk,Secratraite Colony,10,Manoj,24,240,240,240,0,0,,,,,
174,1-Apr,Skumar,Badam Milk,Secratraite Colony,15,Manoj,23,345,345,345,0,0,,,,,
175,1-Apr,City Shoppee,Badam Milk,Secratraite Colony,6,Manoj,24,144,144,120,1,24,,,,,
176,1-Apr,Indian Coffee,Badam Milk,Purasaiwalkam,5,Manoj,24,120,120,120,0,0,,,,,
177,1-Apr,Suba Cool bar,Badam Milk,Choolai,4,Manoj,24,96,96,96,0,0,,,,,
178,1-Apr,"Oman Cool,bar",Badam Milk,Anna nagar,7,Sreenevasan,23,161,161,161,0,0,,,,,
179,1-Apr,Hotel faizal,Badam Milk,Anna nagar,5,Sreenevasan,23,115,115,115,0,0,,,,,
180,1-Apr,S k cool bar,Badam Milk,Anna nagar,5,Sreenevasan,24,120,120,120,0,0,,,,,
181,1-Apr,Arul Tea Stall,Badam Milk,Ambattur,5,Sreenevasan,23,115,115,115,0,0,,,,,
182,1-Apr,Ambika cool bar,Badam Milk,Ambattur,5,Sreenevasan,23,115,115,115,0,0,,,,,
183,1-Apr,Nandanam Hot & Chill,Badam Milk,Karukku Road,5,Sreenevasan,23,115,115,115,0,0,,,,,
184,1-Apr,Perumal Store,Badam Milk,Ambattur,5,Sreenevasan,23,115,115,115,0,0,,,,,
185,1-Apr,Kirthika Sweet,Badam Milk,Ambattur,7,Sreenevasan,23,161,161,161,0,0,,230,0,,
186,1-Apr,kumaran Cool bar,Badam Milk,Korattur,6,Sreenevasan,24,144,144,120,1,24,,,,,
187,1-Apr,Brindha Backery,Badam Milk,Korattur,5,Sreenevasan,23,115,115,115,0,0,,,,,
188,1-Apr,Venkateswara backery,Badam Milk,Korattur,5,Sreenevasan,23,115,115,115,0,0,,,,,
189,1-Apr,Ravi Cool bar,Badam Milk,Korattur,5,Sreenevasan,22,110,110,110,0,0,,,,,
190,1-Apr,Good Luck,Badam Milk,Korattur,5,Sreenevasan,23,115,115,115,0,0,,,,,
191,1-Apr,Saravana Store,Badam Milk,Korattur,7,Sreenevasan,23,161,161,115,2,46,,,,,
192,1-Apr,V U Snacks,Badam Milk,Arumbakkam,6,Viswanath,24,144,144,72,3,72,,,,,
193,1-Apr,Hydrabad Briyani,Badam Milk,Koyembedu,4,Viswanath,24,96,96,96,0,0,,,,,
194,1-Apr,Maniratnam,Badam Milk,Koyembedu,10,Viswanath,23,230,230,230,0,0,,,,,
195,1-Apr,Perumal Cool bar,Badam Milk,Koyembedu,7,Viswanath,24,168,168,96,3,72,,,,,
196,1-Apr,Murugan traders,Badam Milk,Mogappair,4,Viswanath,24,96,96,72,1,24,,,,,
197,1-Apr,Hotel Mahalakshmi,Badam Milk,Mogappair,4,Viswanath,23,92,92,92,0,0,,,,,
198,1-Apr,Mohan Cool bar,Badam Milk,Mogappair,5,Viswanath,23,115,115,115,0,0,,,,,
199,1-Apr,Dhivya Tea Stall,Badam Milk,MMDA,6,Silambarasan,24,144,144,144,0,0,,,,,
200,1-Apr,Anas Tea Stall,Badam Milk,Vadapalani,3,Silambarasan,23,69,69,0,3,69,,,,,
201,1-Apr,Murugalakshmi Store,Badam Milk,West mambalam,5,Silambarasan,24,120,120,120,0,0,,,,,
202,1-Apr,Karupatti,Badam Milk,West mambalam,5,Silambarasan,24,120,120,120,0,0,,,,,
203,1-Apr,Golden Snacks,Badam Milk,West mambalam,5,Silambarasan,24,120,120,120,0,0,,,,,
204,1-Apr,Binhalan Cool bar,Badam Milk,Kasi theatre,5,Silambarasan,24,120,120,120,0,0,,,,,
205,1-Apr,Vijay Cool bar,Badam Milk,Kasi theatre,5,Silambarasan,24,120,120,120,0,0,,,,,
206,1-Apr,MM cool bar,Badam Milk,kk nagar,3,Silambarasan,24,72,72,72,0,0,,,,,
207,1-Apr,Sakthi news mart,Badam Milk,kk nagar,3,Silambarasan,24,72,72,72,0,0,,,,,
208,1-Apr,Venkateswara hot Chips,Badam Milk,Alwarthirunagar,5,Silambarasan,23,115,115,115,0,0,,,,,
209,1-Apr,Murugan Tea Stall,Badam Milk,Alwarthirunagar,8,Silambarasan,23,184,184,184,0,0,,,,,
210,1-Apr,Saradha Store,Badam Milk,Alwarthirunagar,2,Silambarasan,23,46,46,46,0,0,,,,,
211,1-Apr,Tea Room,Badam Milk,Alwarthirunagar,5,Silambarasan,27,135,135,135,0,0,,,,,
212,1-Apr,Bombay cool bar,Badam Milk,Teynampet,5,Satish,22,110,110,110,0,0,,,,,
213,1-Apr,Black Pokea,Badam Milk,Royapettah,10,Satish,23,230,230,230,0,0,,,,,
214,1-Apr,A to Z Cool bar,Badam Milk,Royapettah,4,Satish,23,92,92,92,0,0,,,,,
215,1-Apr,Brothers Cool bar,Badam Milk,Mylapore,3,Satish,23,69,69,69,0,0,,,,,
216,1-Apr,Music Collage ,Badam Milk,R.A.Puram,10,Satish,23,230,230,230,0,0,,,,,
217,1-Apr,Pavi tiffen ,Badam Milk,R.A.Puram,3,Satish,23,69,69,69,0,0,,,,,
218,1-Apr,Tirumala cool bar,Badam Milk,Teynampet,2,Satish,23,46,46,46,0,0,,,,,
219,1-Apr,Amith Cool bar,Badam Milk,Teynampet,5,Satish,23,115,115,115,0,0,,,,,
220,1-Apr,Vijay Cool bar,Badam Milk,Teynampet,5,Satish,23,115,115,115,0,0,,,,,
221,1-Apr,Natarajan cool bar,Badam Milk,Royapettah,3,Satish,23,69,69,0,3,69,,,,,
222,2-Apr,Greams Palace,Rose Milk,Greams Road,6,M.Karthick,17,100,100,100,0,0,,,,,
223,2-Apr,Vinu Tea stall,Rose Milk,Thoushand Lights,6,M.Karthick,17,100,100,100,0,0,,,,,
224,2-Apr,Masque View,Rose Milk,Thoushand Lights,3,M.Karthick,15,45,45,45,0,0,,,,,
225,2-Apr,Fathima Tea stall,Rose Milk,Thoushand Lights,3,M.Karthick,16,48,48,48,0,0,,,,,
226,2-Apr,Bung Shop,Rose Milk,Royapettah,5,M.Karthick,17,85,85,85,0,0,,,,,
227,2-Apr,Millath,Rose Milk,Royapettah,13,M.Karthick,16,208,208,160,3,48,,,,,
228,2-Apr,Anand ,Rose Milk,Triplicane,10,M.Karthick,18,180,180,126,3,54,,,,,
229,2-Apr,"Sai Cool,bar",Rose Milk,Royapettah,5,M.Karthick,18,90,90,54,2,36,,,,,
230,2-Apr,Kps Snacks,Rose Milk,Royapettah,10,M.Karthick,17.5,175,175,175,0,0,,,,,
231,2-Apr,City Cafe,Rose Milk,G.P.Road,6,M.Karthick,17,100,100,100,0,0,,,,,
232,2-Apr,Palms,Rose Milk,G.P.Road,3,M.Karthick,17,50,50,50,0,0,,,,,
233,2-Apr,Prahalad Pan Shop,Rose Milk,Mount road,5,M.Karthick,18,90,90,90,0,0,,,,,
234,2-Apr,Aroma Backery,Rose Milk,Pudupet,10,M.Karthick,17.5,175,175,175,0,0,,,,,
235,2-Apr,Mass Chai,Rose Milk,Pudupet,5,M.Karthick,18,90,90,90,0,0,,,,,
236,2-Apr,Sindoor Cool bar,Rose Milk,Egmore,5,M.Karthick,18,90,90,90,0,0,,,,,
237,2-Apr,Baby Hospital,Rose Milk,Egmore,6,M.Karthick,17,100,100,100,0,0,,,,,
238,2-Apr,Shanthi Sandwich,Rose Milk,Egmore,10,M.Karthick,18,180,180,180,0,0,,,0,,
239,2-Apr,Renowed,Rose Milk,Egmore,5,M.Karthick,15,75,75,75,0,0,,,,,
240,2-Apr,Geetham Coffee,Rose Milk,Egmore,5,M.Karthick,18,90,90,90,0,0,,,,,
241,2-Apr,Pamba Backery,Rose Milk,Egmore,3,M.Karthick,18,54,54,54,0,0,,,,,
242,2-Apr,Chandrika Backery,Rose Milk,chetpet,6,M.Karthick,17,100,100,100,0,0,,,,,
243,2-Apr,New Collage,Rose Milk,Royapettah,5,M.Karthick,16,80,80,80,0,0,,,,,
244,2-Apr,Jupiter Tea Stall,Rose Milk,Aminjikarai,3,Manikandan,18,54,54,54,0,0,,,,,
245,2-Apr,Dinesh Tea stall,Rose Milk,Aminjikarai,3,Manikandan,17,50,50,50,0,0,,,,,
246,2-Apr,Kumaran tea Stall,Rose Milk,Aminjikarai,6,Manikandan,17,100,100,100,0,0,,,,,
